User,Bot
xin chào,"Chào bạn, tôi có thể giúp gì cho bạn?
"
26 điểm thì được học bổng gì,"Với 26 điểm, bạn có thể tham khảo các loại học bổng sau của SIU (dành cho học sinh THPT toàn quốc):

*   **Học bổng Tài năng trẻ:**
    *   Nếu bạn xét tuyển bằng điểm học bạ, bạn cần đạt 26 điểm trở lên và học lực lớp 12 đạt loại giỏi thì bạn sẽ nhận được học bổng 60% học phí toàn khóa (trị giá khoảng 143,1 – 380,9 triệu/suất).
    *   Nếu bạn xét tuyển bằng điểm thi THPT, bạn cần đạt 24 điểm trở lên thì bạn sẽ nhận được học bổng 60% học phí toàn khóa (trị giá khoảng 143,1 – 380,9 triệu/suất).
    *   Nếu bạn xét tuyển bằng điểm thi ĐGNL, bạn cần đạt 950 điểm trở lên thì bạn sẽ nhận được học bổng 60% học phí toàn khóa (trị giá khoảng 143,1 – 380,9 triệu/suất).
    * Bạn cũng có thể dùng chứng chỉ IELTS đạt 7.5 điểm trở lên, hoặc có chứng chỉ SAT đạt 1.200 điểm trở lên để xét tuyển và nhận học bổng 60% học phí toàn khóa (trị giá khoảng 143,1 – 380,9 triệu/suất).
*   **Các học bổng khác:**
    *   Học bổng đồng hành xây dựng nhân lực chất lượng cao cho Thành phố Thủ Đức: Nếu bạn tốt nghiệp các trường THPT trên địa bàn Thành phố Thủ Đức sẽ được trao tặng học bổng 30% học phí toàn khóa.
    *   Học bổng 30% học phí toàn khóa cho tất cả học sinh đăng ký chương trình giảng dạy bằng tiếng Anh.
Để biết thêm thông tin chi tiết về các loại học bổng và điều kiện xét tuyển, bạn vui lòng truy cập trang web của trường hoặc liên hệ phòng tư vấn tuyển sinh để được hỗ trợ nhé.
"
tôi có giải thưởng cấp quốc gia,"Nếu bạn có giải thưởng cấp quốc gia trong các hoạt động văn hóa, thể thao, nghệ thuật, bạn có cơ hội nhận học bổng 50% học phí toàn khóa, tương đương khoảng 131,09 - 356,32 triệu đồng/suất. Bạn vui lòng cung cấp thông tin chi tiết về giải thưởng để tôi có thể tư vấn cụ thể hơn nhé.
"
trường có những ngành gì,"Trường Đại học Quốc tế Sài Gòn (SIU) cung cấp đa dạng các ngành đào tạo, bao gồm:

*   **Công nghệ giáo dục**
*   **Luật kinh tế** (chuyên ngành: Luật kinh tế quốc tế)
*   **Khoa học máy tính** (chuyên ngành: Trí tuệ nhân tạo, Hệ thống dữ liệu lớn, Kỹ thuật phần mềm, Mạng máy tính & An ninh thông tin)
*   **Quản trị kinh doanh** (chuyên ngành: Quản trị kinh doanh, Kinh tế đối ngoại, Thương mại quốc tế, Marketing số, Quản trị du lịch, Kinh doanh số)
*   **Thương mại điện tử**
*   **Ngôn ngữ Anh** (chuyên ngành: Tiếng Anh giảng dạy, Tiếng Anh thương mại)
*   **Kế toán** (chuyên ngành: Kế toán - kiểm toán, Kế toán doanh nghiệp)
*   **Quản trị khách sạn**
*   **Logistics & Quản lý chuỗi cung ứng**
*   **Tâm lý học** (chuyên ngành: Tâm lý học tham vấn & trị liệu)
*   **Đông phương học** (chuyên ngành: Nhật Bản học, Hàn Quốc học, Trung Quốc học)

Bạn có thể tham khảo thông tin chi tiết về các tổ hợp môn xét tuyển của từng ngành trên trang web của trường hoặc liên hệ với phòng tư vấn tuyển sinh để được hỗ trợ tốt nhất."
viết ngắn gọn giúp tôi,"SIU đào tạo các ngành: Công nghệ giáo dục, Luật kinh tế, Khoa học máy tính, Quản trị kinh doanh, Thương mại điện tử, Ngôn ngữ Anh, Kế toán, Quản trị khách sạn, Logistics & Quản lý chuỗi cung ứng, Tâm lý học, Đông phương học."
ngành khoa học máy tính có chuyên ngành gì,"Ngành Khoa học máy tính của SIU có các chuyên ngành sau: Trí tuệ nhân tạo, Hệ thống dữ liệu lớn, Kỹ thuật phần mềm, Mạng máy tính & An ninh thông tin. Bạn có thể lựa chọn chuyên ngành phù hợp với sở thích và định hướng nghề nghiệp của mình nhé.
"
tôi cần lưu ý gì khi vào trường không,"Khi nhập học tại SIU, bạn cần lưu ý những điều sau:

*   **Học thuật:** SIU trang bị cho bạn kiến thức, kỹ năng để trở thành công dân toàn cầu, đồng thời tạo điều kiện để bạn phát triển toàn diện về thể chất, tinh thần, cảm xúc và hiểu biết về xã hội, văn hóa.
*   **Phục vụ cộng đồng:** SIU xây dựng cộng đồng thân thiện, hòa nhập, đề cao tinh thần tự do, thiện nguyện và bảo vệ quyền lợi của mỗi cá nhân.
*   **Nghiên cứu:** SIU khuyến khích bạn tham gia nghiên cứu khoa học, nghệ thuật, xã hội và nhân văn để mở rộng kiến thức, sáng tạo và giải quyết các vấn đề thực tế.
*   **Bản sắc:** SIU trân trọng di sản và truyền thống của Tập đoàn Giáo dục Quốc Tế Á Châu, đồng thời tôn trọng bản sắc và truyền thống của các tổ chức khác, hướng đến sự phát triển chung của nhân loại.
"
trường có clb gì,"Hiện tại, thông tin về các câu lạc bộ của trường chưa được cập nhật chi tiết. Bạn có thể tìm hiểu thêm thông tin này trên trang web chính thức của trường hoặc liên hệ trực tiếp với phòng công tác sinh viên để được cung cấp thông tin cụ thể nhé.
"
tôi cần thủ tục gì khi đăng ký xét tuyển vô trường,"Để đăng ký xét tuyển vào SIU, bạn cần chuẩn bị các thủ tục sau, tùy thuộc vào phương thức xét tuyển của bạn:

**a) Nếu bạn dự thi THPT và đăng ký xét tuyển:**

*   **Đợt 1:** Đăng ký theo thời gian quy định của Bộ Giáo dục và Đào tạo.
*   **Đợt bổ sung:** Điền thông tin vào Phiếu đăng ký xét tuyển (mẫu của SIU) và gửi về trường.
*   Nếu đăng ký chương trình tiếng Anh, cần nộp thêm bản sao kết quả TOEFL iBT hoặc IELTS.

**b) Nếu bạn tốt nghiệp THPT và xét tuyển bằng học bạ:**

*   Bản sao công chứng bằng tốt nghiệp THPT (nếu đã tốt nghiệp trước 2024) hoặc Giấy chứng nhận tốt nghiệp THPT tạm thời (nếu tốt nghiệp 2024).
*   Bản chính kết quả TOEFL iBT hoặc IELTS (nếu xét tuyển chương trình tiếng Anh).
*   Các giấy tờ chứng nhận ưu tiên (nếu có).

**c) Nếu bạn xét tuyển bằng kết quả thi đánh giá năng lực ĐHQG TP.HCM:**

*   Bản sao công chứng bằng tốt nghiệp THPT (nếu đã tốt nghiệp trước 2024) hoặc Giấy chứng nhận tốt nghiệp THPT tạm thời (nếu tốt nghiệp 2024).
*   Bản chính kết quả TOEFL iBT hoặc IELTS (nếu xét tuyển chương trình tiếng Anh).
*   Bản sao công chứng phiếu điểm thi đánh giá năng lực.
*   Các giấy tờ chứng nhận ưu tiên (nếu có).

**d) Nếu bạn là người nước ngoài hoặc tốt nghiệp THPT ở nước ngoài:**

*   Bản sao dịch thuật công chứng bằng tốt nghiệp THPT (nếu có).
*   Bản sao dịch thuật công chứng bảng điểm THPT.
*   Bản chính kết quả TOEFL iBT hoặc IELTS (nếu xét tuyển chương trình tiếng Anh).
*   Bản sao công chứng visa (nếu là người nước ngoài).

Để biết thêm chi tiết, bạn có thể xem thông tin trên trang web của trường hoặc liên hệ phòng tư vấn tuyển sinh để được hỗ trợ nhé.
"
liên hệ với trường siu thế nao,"Bạn có thể liên hệ với trường SIU qua các kênh sau:

*   **Số điện thoại tuyển sinh:** 028.3620 3932
*   **Trang web:** [www.siu.edu.vn](http://www.siu.edu.vn/)
*   **Facebook:** [Trường Đại học Quốc tế Sài Gòn SIU | Ho Chi Minh City](https://www.facebook.com/dhquoctesaigon)

Trường có nhiều cơ sở đào tạo, bạn có thể xem danh sách chi tiết tại trang web của trường nhé.
"
cơ sở đào tạo ở đâu,"Trường Đại học Quốc tế Sài Gòn (SIU) có các cơ sở đào tạo sau:

1.  **Cơ sở chính:** 8C Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM
2.  **Cơ sở chính:** 9 Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM
3.  **Viện Sau đại học:** 11 Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM
4.  **Cơ sở chính:** 16 Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM
5.  **Cơ sở chính:** 18 Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM
6.  **Khu truyền thống - dã ngoại:** 29 Lê Hồng Phong, Long Khánh, Đồng Nai
7.  **Dự án (đang triển khai):** Tam Đa, Long Trường, TP Thủ Đức, TP.HCM
8.  **Dự án (đang xây dựng):** 7 Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM
9.  **Dự án (đang xây dựng):** 10 Tống Hữu Định, P. Thảo Điền, TP Thủ Đức, TP.HCM

Bạn có thể tham khảo thêm thông tin chi tiết trên trang web của trường nhé.
"
